滬港通及深港通交易日曆（2021年1月- 2021年12月）
*: 視乎下一年度香港及上海及深圳市場的放假情况
日期,星期,香港,上海及深圳,北向交易,南向交易
2021-01-01,五,假期,假期,關閉,關閉
2021-01-04,一,,,,
2021-01-05,二,,,,
2021-01-06,三,,,,
2021-01-07,四,,,,
2021-01-08,五,,,,
2021-01-11,一,,,,
2021-01-12,二,,,,
2021-01-13,三,,,,
2021-01-14,四,,,,
2021-01-15,五,,,,
2021-01-18,一,,,,
2021-01-19,二,,,,
2021-01-20,三,,,,
2021-01-21,四,,,,
2021-01-22,五,,,,
2021-01-25,一,,,,
2021-01-26,二,,,,
2021-01-27,三,,,,
2021-01-28,四,,,,
2021-01-29,五,,,,
2021-02-01,一,,,,
2021-02-02,二,,,,
2021-02-03,三,,,,
2021-02-04,四,,,,
2021-02-05,五,,,,
2021-02-08,一,,,,
2021-02-09,二,,,,關閉
2021-02-10,三,,,,關閉
2021-02-11,四,半日市,假期,關閉,關閉
2021-02-12,五,假期,假期,關閉,關閉
2021-02-15,一,假期,假期,關閉,關閉
2021-02-16,二,,假期,關閉,關閉
2021-02-17,三,,假期,關閉,關閉
2021-02-18,四,,,,
2021-02-19,五,,,,
2021-02-22,一,,,,
2021-02-23,二,,,,
2021-02-24,三,,,,
2021-02-25,四,,,,
2021-02-26,五,,,,
2021-03-01,一,,,,
2021-03-02,二,,,,
2021-03-03,三,,,,
2021-03-04,四,,,,
2021-03-05,五,,,,
2021-03-08,一,,,,
2021-03-09,二,,,,
2021-03-10,三,,,,
2021-03-11,四,,,,
2021-03-12,五,,,,
2021-03-15,一,,,,
2021-03-16,二,,,,
2021-03-17,三,,,,
2021-03-18,四,,,,
2021-03-19,五,,,,
2021-03-22,一,,,,
2021-03-23,二,,,,
2021-03-24,三,,,,
2021-03-25,四,,,,
2021-03-26,五,,,,
2021-03-29,一,,,,
2021-03-30,二,,,,
2021-03-31,三,,,,
2021-04-01,四,,,關閉,
2021-04-02,五,假期,,關閉,關閉
2021-04-05,一,假期,假期,關閉,關閉
2021-04-06,二,假期,,關閉,關閉
2021-04-07,三,,,,
2021-04-08,四,,,,
2021-04-09,五,,,,
2021-04-12,一,,,,
2021-04-13,二,,,,
2021-04-14,三,,,,
2021-04-15,四,,,,
2021-04-16,五,,,,
2021-04-19,一,,,,
2021-04-20,二,,,,
2021-04-21,三,,,,
2021-04-22,四,,,,
2021-04-23,五,,,,
2021-04-26,一,,,,
2021-04-27,二,,,,
2021-04-28,三,,,,
2021-04-29,四,,,,關閉
2021-04-30,五,,,,關閉
2021-05-03,一,,假期,關閉,關閉
2021-05-04,二,,假期,關閉,關閉
2021-05-05,三,,假期,關閉,關閉
2021-05-06,四,,,,
2021-05-07,五,,,,
2021-05-10,一,,,,
2021-05-11,二,,,,
2021-05-12,三,,,,
2021-05-13,四,,,,
2021-05-14,五,,,,
2021-05-17,一,,,,
2021-05-18,二,,,關閉,
2021-05-19,三,假期,,關閉,關閉
2021-05-20,四,,,,
2021-05-21,五,,,,
2021-05-24,一,,,,
2021-05-25,二,,,,
2021-05-26,三,,,,
2021-05-27,四,,,,
2021-05-28,五,,,,
2021-05-31,一,,,,
2021-06-01,二,,,,
2021-06-02,三,,,,
2021-06-03,四,,,,
2021-06-04,五,,,,
2021-06-07,一,,,,
2021-06-08,二,,,,
2021-06-09,三,,,,
2021-06-10,四,,,,
2021-06-11,五,,,,
2021-06-14,一,假期,假期,關閉,關閉
2021-06-15,二,,,,
2021-06-16,三,,,,
2021-06-17,四,,,,
2021-06-18,五,,,,
2021-06-21,一,,,,
2021-06-22,二,,,,
2021-06-23,三,,,,
2021-06-24,四,,,,
2021-06-25,五,,,,
2021-06-28,一,,,,
2021-06-29,二,,,,
2021-06-30,三,,,關閉,
2021-07-01,四,假期,,關閉,關閉
2021-07-02,五,,,,
2021-07-05,一,,,,
2021-07-06,二,,,,
2021-07-07,三,,,,
2021-07-08,四,,,,
2021-07-09,五,,,,
2021-07-12,一,,,,
2021-07-13,二,,,,
2021-07-14,三,,,,
2021-07-15,四,,,,
2021-07-16,五,,,,
2021-07-19,一,,,,
2021-07-20,二,,,,
2021-07-21,三,,,,
2021-07-22,四,,,,
2021-07-23,五,,,,
2021-07-26,一,,,,
2021-07-27,二,,,,
2021-07-28,三,,,,
2021-07-29,四,,,,
2021-07-30,五,,,,
2021-08-02,一,,,,
2021-08-03,二,,,,
2021-08-04,三,,,,
2021-08-05,四,,,,
2021-08-06,五,,,,
2021-08-09,一,,,,
2021-08-10,二,,,,
2021-08-11,三,,,,
2021-08-12,四,,,,
2021-08-13,五,,,,
2021-08-16,一,,,,
2021-08-17,二,,,,
2021-08-18,三,,,,
2021-08-19,四,,,,
2021-08-20,五,,,,
2021-08-23,一,,,,
2021-08-24,二,,,,
2021-08-25,三,,,,
2021-08-26,四,,,,
2021-08-27,五,,,,
2021-08-30,一,,,,
2021-08-31,二,,,,
2021-09-01,三,,,,
2021-09-02,四,,,,
2021-09-03,五,,,,
2021-09-06,一,,,,
2021-09-07,二,,,,
2021-09-08,三,,,,
2021-09-09,四,,,,
2021-09-10,五,,,,
2021-09-13,一,,,,
2021-09-14,二,,,,
2021-09-15,三,,,,
2021-09-16,四,,,,關閉
2021-09-17,五,,,關閉,關閉
2021-09-20,一,,假期,關閉,關閉
2021-09-21,二,,假期,關閉,關閉
2021-09-22,三,假期,,關閉,關閉
2021-09-23,四,,,,
2021-09-24,五,,,,
2021-09-27,一,,,,
2021-09-28,二,,,,
2021-09-29,三,,,,關閉
2021-09-30,四,,,,關閉
2021-10-01,五,假期,假期,關閉,關閉
2021-10-04,一,,假期,關閉,關閉
2021-10-05,二,,假期,關閉,關閉
2021-10-06,三,,假期,關閉,關閉
2021-10-07,四,,假期,關閉,關閉
2021-10-08,五,,,,
2021-10-11,一,,,,
2021-10-12,二,,,,
2021-10-13,三,,,關閉,
2021-10-14,四,假期,,關閉,關閉
2021-10-15,五,,,,
2021-10-18,一,,,,
2021-10-19,二,,,,
2021-10-20,三,,,,
2021-10-21,四,,,,
2021-10-22,五,,,,
2021-10-25,一,,,,
2021-10-26,二,,,,
2021-10-27,三,,,,
2021-10-28,四,,,,
2021-10-29,五,,,,
2021-11-01,一,,,,
2021-11-02,二,,,,
2021-11-03,三,,,,
2021-11-04,四,,,,
2021-11-05,五,,,,
2021-11-08,一,,,,
2021-11-09,二,,,,
2021-11-10,三,,,,
2021-11-11,四,,,,
2021-11-12,五,,,,
2021-11-15,一,,,,
2021-11-16,二,,,,
2021-11-17,三,,,,
2021-11-18,四,,,,
2021-11-19,五,,,,
2021-11-22,一,,,,
2021-11-23,二,,,,
2021-11-24,三,,,,
2021-11-25,四,,,,
2021-11-26,五,,,,
2021-11-29,一,,,,
2021-11-30,二,,,,
2021-12-01,三,,,,
2021-12-02,四,,,,
2021-12-03,五,,,,
2021-12-06,一,,,,
2021-12-07,二,,,,
2021-12-08,三,,,,
2021-12-09,四,,,,
2021-12-10,五,,,,
2021-12-13,一,,,,
2021-12-14,二,,,,
2021-12-15,三,,,,
2021-12-16,四,,,,
2021-12-17,五,,,,
2021-12-20,一,,,,
2021-12-21,二,,,,
2021-12-22,三,,,,
2021-12-23,四,,,,
2021-12-24,五,半日市,,關閉,
2021-12-27,一,假期,,關閉,關閉
2021-12-28,二,,,,
2021-12-29,三,,,,*
2021-12-30,四,,,*,*
2021-12-31,五,半日市,,*,*
